"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22556","ðŸš¬@Smoke Validating: [Cincoâ€™s XM Solutions] feed page","Chrome execution","Tue May 27 11:38:42 EDT 2025","passed","Tue May 27 11:39:04 EDT 2025","","smoke.spec.js","",""
"","14831","ðŸš¬@Smoke Verify that panel_5 [Case Studies] is accessible and loads correctly for users","Chrome execution","Tue May 27 11:37:49 EDT 2025","passed","Tue May 27 11:38:04 EDT 2025","","smoke.spec.js","",""
"","2590","ðŸš¬@Smoke Validating the Entry screen of the cinco app","Chrome execution","Tue May 27 11:36:27 EDT 2025","passed","Tue May 27 11:36:29 EDT 2025","","smoke.spec.js","",""
"","22708","ðŸš¬@Smoke Validating: [AN INTRO TO CINCO] feed page","Chrome execution","Tue May 27 11:38:19 EDT 2025","passed","Tue May 27 11:38:42 EDT 2025","","smoke.spec.js","",""
"","24917","ðŸš¬@Smoke Validating: [Cinco AI Experience] feed page","Chrome execution","Tue May 27 11:39:04 EDT 2025","passed","Tue May 27 11:39:29 EDT 2025","","smoke.spec.js","",""
"","15672","ðŸš¬@Smoke Verify that panel_4 [ How We Work] is accessible and loads correctly for users","Chrome execution","Tue May 27 11:37:33 EDT 2025","passed","Tue May 27 11:37:49 EDT 2025","","smoke.spec.js","",""
"","15488","ðŸš¬@Smoke Verify that the ""LET US CONNECT"" panel is visible and fully loaded","Chrome execution","Tue May 27 11:38:04 EDT 2025","passed","Tue May 27 11:38:19 EDT 2025","","smoke.spec.js","",""
"","10355","ðŸš¬@Smoke Verify that the 'Enter' App button appears and is visible to the user.","Chrome execution","Tue May 27 11:36:29 EDT 2025","passed","Tue May 27 11:36:40 EDT 2025","","smoke.spec.js","",""
"","13743","ðŸš¬@Smoke Verify that panel_3 [Cinco AI Experience] is accessible and loads correctly for users","Chrome execution","Tue May 27 11:37:19 EDT 2025","passed","Tue May 27 11:37:33 EDT 2025","","smoke.spec.js","",""
"","13068","ðŸš¬@Smoke Verify that panel_2 [Cincoâ€™s XM Solutions] is accessible and loads correctly for users","Chrome execution","Tue May 27 11:37:06 EDT 2025","passed","Tue May 27 11:37:19 EDT 2025","","smoke.spec.js","",""
"","13912","ðŸš¬@Smoke Verify that panel_1 [An Intro to Cinco] is accessible and loads correctly for users","Chrome execution","Tue May 27 11:36:52 EDT 2025","passed","Tue May 27 11:37:06 EDT 2025","","smoke.spec.js","",""
"","29453","ðŸš¬@Smoke Validating: [Case Studies] feed page","Chrome execution","Tue May 27 11:39:44 EDT 2025","passed","Tue May 27 11:40:14 EDT 2025","","smoke.spec.js","",""
"","15206","ðŸš¬@Smoke Verify the accessibility of the feed pages for [How We Work] to users","Chrome execution","Tue May 27 11:39:29 EDT 2025","passed","Tue May 27 11:39:44 EDT 2025","","smoke.spec.js","",""
"","12727","ðŸš¬@Smoke Validating the 6-panel page","Chrome execution","Tue May 27 11:36:40 EDT 2025","passed","Tue May 27 11:36:52 EDT 2025","","smoke.spec.js","",""
